Ulasan,Translated_Ulasan
peforma bagus barang sesuai spesifikasi,"good performance, goods according to specifications"
semoga awet,hope it lasts
ok mantap,okay great
barang sudah diterima dan semoga awet bossss quhhhhhhhh,The item has been received and hopefully it will last bossss quhhhhhhhh
istimewa sudah dipasang mormal,special already installed mormal
saya baru saja membeli ssd msi spatium dengan kapasitas tb untuk lenovo thinkpad l gen saya dan berikut adalah pengalaman saya sejauh ini pemasangan ssd msi spati,I just bought an MSI Spatium SSD with TB capacity for my Lenovo Thinkpad L Gen and here is my experience so far installing the MSI Spati SSD
alhamdulillah barang nya udah sampai dengan selamat semoga berkah,"Thank God, the item arrived safely, God bless you"
respon lumayan cepat psu nya selamat dan berfungsi ekspedisinya nggak bener kerjanya karena kondisi packagingnya berlubang seperti di robek dan basah kemasukan air pur,"the response was quite fast, the psu was safe and functioning, the expedition didn't work properly because the condition of the packaging had holes, like it had been torn and was wet because water had entered it."
oke nyampe dengan selamat dan baik kondisinya untuk test blm dilakukan semoga berfungsi dengan baik gud job,"okay, arrived safely and in good condition, the test hasn't been done yet, hopefully it works well, gud job"
sudah pernah menggunakan produk monitor msi lain selama hampir tahun sebelumnya dan reliable,I have used other MSI monitor products for almost the previous year and they are reliable
fast respond seller sat set klik order langsung kirim low budget monitor kualitas oke buat game di rentang harga segini cuma ini thanks,fast response seller sat set click order direct send low budget monitor quality okay for games in this price range only this thanks
belum dicoba pengiriman cepat,Haven't tried yet. Fast delivery
keren setelah dipakai jadi alus bet semoga awet trouble,"It's cool after being used, so it's good, but I hope it lasts for a long time"
gg msi udh paling mantep dah,gg msi is already the most stable
mantaaaappp,Mandaapp
sempat bermasalah karena dongle tp cs msi sangat helpful mencarikan solusi setelah ganti dongle monitor bekerja dgn lancar,"There was a problem because of the dongle but MSI CS was very helpful in finding a solution after replacing the dongle, the monitor worked smoothly"
ok,ok
produk sudah diterima dengan baik menyalanyala bossque,"The product has been well received, lit Bossque"
sudah menyala dengan baik setingan bisa sampai hz sesuai dengan deskripsi pokoknya recommended,"It lights up well, the settings can go up to Hz according to the description, basically recommended"
produk lengkap sesuai dengan deskripsi pc juga sudah bisa dinyalakan dan siap tempur,Complete product according to description PC can also be turned on and ready to fight
produk sangat lengkap sesuai dengan panduan terregistrasi juga pc sudah nyala dan siap tempur,The product is very complete in accordance with the registered instructions and the PC is on and ready to fight
mantap berfungsi dengan baik,steady works well
kualitas bagus,good quality
thanks buat msi shop id tokopedia dan expedition team semoga sukses selalu packing dengan bubble wrap super duper tebal banget sudah pasti aman w,thanks to msi shop id tokopedia and expedition team good luck always packing with super duper thick bubble wrap is definitely safe w
original,original
rekomended seller,recommended seller
gudd,good
respon cepat dan packing aman,fast response and safe packing
mantap barangnya nyaman dan praktis tinggal plug play best value mouse,"great item, comfortable and practical, just plug play best value mouse"
proses cepatpelayanan nya okmudahan awet,The service is fast and hopefully it lasts
mantap barang bagus madep kualitas jangan di ragulan tb speed madep,"great item, good quality, don't doubt the speed of the product"
mantap monitor impian akhirnya kebeli jg,"Great, I finally bought my dream monitor"
mantapp,great
mantap kali packingnya bagus,"great, the packaging is good"
barang ori respon penjual ramah pengiriman cepat,"Original item, friendly seller, fast delivery"
kiriman cepat barang mantap,"fast delivery, great goods"
peforma pc ini mantap udah pake processor terbaru dan gtx series yg kencang semua game bisa dijalankan dgn fps max pilihan yg bagus bgt buat gamer dan harga pun te,"The performance of this PC is great, it uses the latest processor and a fast GTX series, all games can be run with max FPS, a really good choice for gamers and the price is also affordable."
mantaaab,Mantalab
packing bagus dan rapi pengiriman cepat,"good and neat packing, fast delivery"
belum di coba semoga awet,"Haven't tried it yet, hope it lasts"
barang sudah diterima degan baik,the goods have been received well
barang datang dengan packing bubble tebal ssd sendiri cepat dengan harga terjangkau,"The item came with thick bubble packaging, the SSD itself was fast at an affordable price"
barang bagus packing rapi berfu gsindengan baik,"good item, neat packaging, works well"
gg wp,gg wp
ssd berfungsi dengan baik,ssd works fine
recommended product trusted seller,recommended product trusted seller
packing sangat baik barang berfungsi dengan sangat baik,"Very good packing, item works very well"
barang diterima dalam keadaan baik tapi tidak menyala,Item received in good condition but does not turn on
barang original dan mantap sesuai deskripsi packing aman pelayanan cepat,"Original and solid goods according to the description, safe packaging, fast service"
seller responsif dan membantu,Seller is responsive and helpful
nyaman dan praktis tinggal plug play,"comfortable and practical, just plug play"
semoga awet mantap oke punya bagus sip,"I hope it lasts well. It's good to have it, sir"
barang sudah di terima packing rapih dan aman barang sesuai pesanan dan berfungsi dengan baik,"The goods have been received, the packaging is neat and safe, the goods are as ordered and function well"
mendarat sempurna berfungsi normal mantap,landing perfectly works normally steady
pelayanan baik,good service
maaf baru kasih feedback setelah minggu pemakaian monitor sangat bagus layar jernih kualitas bagus gak ada dead pixel penjual juga ramah meskipun thank,"Sorry, only giving feedback after a week of using the monitor, very good, clear screen, good quality, no dead pixels, seller is also friendly, thank you"
barang sesuai pesanan dan memuaskan,goods as ordered and satisfactory
positif penjual menjawab berbagai pertanyaan saya dengan cepat dan jelas barang yang saya pesan segera diproses di dalam kardus barang dilengkapi busa sedangkan,The seller positively answered my various questions quickly and clearly. The goods I ordered were immediately processed in cardboard boxes with foam
packing kayu kokoh,sturdy wooden packing
harga termurah semoga ssd nya berjalan dengan baik dan mantap,"Cheapest price, hopefully the SSD runs well and is stable"
mantap packing aman dan datang dengan cepat produk juga oke,"great, safe packaging and arrived quickly, product is also okay"
produk mantappp pengiriman cepat packing aman kardus tidak ada penyok sehingga bisa dipajang,"Great product, fast delivery, safe packaging, no dents in the cardboard so it can be displayed"
barang bagus rekomen untuk yang mau buat pc,"Good stuff, recommended for those who want to build a PC"
sanggap pas sekali untuk bermain game fps,I think it's perfect for playing FPS games
terimakasih,Thank You
mantep beli di sini penjual ramah sabar ditanyain orang kek saya heheh barang josss,"great to buy here, friendly seller, patient with people asking me questions, heheh, good stuff"
barang asli sesuai pesanan packing sangat baik mantap,"Original item as ordered, very good packaging"
produk ok gambar bagus packing rapi good seller,"OK product, good pictures, neat packaging, good seller"
pengiriman cepat packing super rapih barangnya original dan kenceng banget,"Fast delivery, super neat packaging, original item and really fast"
berfungsi dengan baik semoga awet,"works well, may it last"
packaging rapi dan aman dikasih bubble wrap sehingga tidak ada kerusakan ketika sampai tujuan kualitas gambar juga ciamik smooth banget scroll dan transition animation,"Neat and safe packaging, provided with bubble wrap so there is no damage when it arrives at the destination, the image quality is also great, really smooth scrolling and transition animation"
spesifikasi memadai untuk desain buku garansi resmi dapat keyboard msi vigor gk dan mouse msi proses cepat pesan siang menjelang senja sudah di rumah good job msi,"adequate specifications for the design of the official guarantee book, got an MSI Vigor GK keyboard and MSI mouse, fast process, order at noon before dusk, already at home, good job MSI"
bagus ni monitor budget,This is a good budget monitor
luar biasa pelayanannya barang bekerja dengan baik,"extraordinary service, goods work well"
barang bagus,good stuff
pengiriman cepat admin cepat respons,fast delivery admin fast response
produk sesuai deskripsi pelayanan baik dan cepat,"The product corresponds to the description, the service is good and fast"
barang sudah sampai pacing aman banget mantab,the goods have arrived very safely and very well packaged
seller gercep n packaging aman bubble wrap tebal,Seller fast and safe packaging with thick bubble wrap
barang berfungsi dengan baiksemoga awet ngga ada kendala,"The item works well, hopefully it will last without any problems"
mantap paket lengkap tinggal pake pc nya,"Great, complete package, just use the PC"
kursinya empuk bisa buat santai packing bagus,"The chairs are soft and can make you relax, the packaging is good"
puas,damage
nice speed oke,nice speed oke
packing barang terbilang aman bisa ditambah lakban fragile biar kurir makin hati hati kondisi barang sampai dengan baik pemakaian hari dari semenjak datang sangat n,"The packaging of the goods is considered safe, you can add fragile duct tape so that the courier will be more careful about the condition of the goods until they are well used, days from when they arrive, very n"
ternyata custom untuk tombol di kiri tidak bisa ctrl c dsb sedikit kecewa oke,"It turns out that the custom button on the left can't use Ctrl C, etc., a little disappointed, okay?"
mantap pelayanan gesit barang berfungsi dengan baik,"great service, agile goods function well"
semoga awet belum gw buka dan ada garansi tahun si aman banget harusnya,"I hope it lasts before I open it and there is a year's guarantee, it should be very safe"
terimakasih sudah packing aman dan sampai di tujuan,Thank you for packing safely and arriving at your destination
mousepad nya bagus,the mousepad is good
pengiriman cepat di proses untuk ukuran toko resmi bubble wrap tebal,Fast delivery process for the official store size with thick bubble wrap
barang sampai dengan aman,goods arrived safely
fast response packing rapih bubble wrap super tebal,"fast response, neat packing, super thick bubble wrap"
best value mouse ukuran mouse pas ditangan nyaman dan praktis tinggal plug play,"best value mouse, the size of the mouse fits in the hand, comfortable and practical, just plug play"
service bagus dan fast respons barang oke tp sayang sekedar ganti casing aja hrs ke service center dulu biar gk ngerusak garansi,"good service and fast response, goods are okay, but unfortunately, just changing the casing, you have to go to the service center first so it doesn't damage the warranty"
bagus produk sesuai ekspektasi pelayanan sangat baik,"good product as expected, very good service"
brg sesuai pengiriman capat respon cepat next order lg disini terimakasih,"good quality, fast delivery, fast response, next order again here, thank you"
sesuai deskripsi ada beberapa penyesuaian tapi jalan lancar,According to the description there are some adjustments but it works smoothly
bagus bagus sesuai foto dan yang paling utama adalah curved,"it's good, it matches the photo and the most important thing is that it's curved"
barang ok berfungsi dengan baik,ok item works well
barang sesuai pesanan dan berfungsi dengan baik,Item as ordered and works well
respon cepatramah dan barangnya baguuuus pengiriman juga cepat terima kasih seller,"fast response from the house and the goods are good, delivery is also fast, thank you seller"
nice service produk original,nice service produk original
pengemasan rapi bubble wrap tebal pokoknya mantap,"Neat packaging, thick bubble wrap, just great"
trima kasih ssd nya cocok dengan laptop saya,"Thank you, the SSD fits my laptop"
barang sdh diterima tinggal di kan nanti di update lagi yaa,"The item has been received, just let it be updated later"
mousepad gaming bagus,good gaming mousepad
keren pake murmer ga ribet bisa main game meski ga rata kanan,"it's cool to use murmer, it's not complicated, you can play games even if it's not flat right"
kursinya empuk,the seat is soft
mantap barang ori berjalan lancar kenceng buat gaming,It's good that the original stuff runs smoothly and fast for gaming
ukuran mouse pas ditangan nyaman dan praktis tinggal plug play best value mouse,"The size of the mouse fits in the hand, comfortable and practical, just plug play best value mouse"
mantap pekingan rapih,neat and tidy
pekingan sangat rapih dan tebal sesuai pesanan mendarat dengan mulus,Pekingan is very neat and thick as ordered and landed smoothly
mantab sih packing tanpa pakcing kayu tapi bubble wrap sampe setengah gulung berlipat keknya ada x lapisnya ternyata ini tokonya imba pc yg punya dpt kartu n,The packaging is really good without wooden packaging but the bubble wrap is half rolled and folded but there are x layers. Turns out this is the shop for PCs who have cards and can get it.
datang tepat waktu works thanks,arrived on time works thanks
barang original speed blm ditest semoga awet,"Original speed item not tested yet, hope it lasts"
mantabs tidak ada kendala,"great, no problems"
sip mantaaaap mendarat dgn mulus packing super tebel mantaaaap thnks bang,"great sip, landed smoothly, super thick packing, great, thanks bro"
sesuai deskripsi,according to description
produk sudah sampai setelah minggu dari ekspediisinya yg lambat padahal dari seller sudah gercep untuk produknya mantap pokoknya,"The product has arrived after a week of slow shipping, even though the seller has been quick with the product, it's really good"
bekerja dengan sangat baik udah kepasang sekitar semingguan dan memang performa kelas atas,"works very well, I've had it installed for about a week and it is top class performance"
msi udah ga perlu diraguikan deh kualitas pelayanannya terbaik thank youuuu,"There's no need to doubt MSI, the quality of service is the best, thank youuuu"
packing aman bubble warp cukup tebal kardus vga card nya masih aman dan vga card nya aman,"safe packaging, bubble warp is thick enough, the cardboard, the vga card is still safe and the vga card is safe"
output suaranya bagus banget sih bodi headphone nya juga solid dan gak kerasa kopong ya emang sih perbandingannya sama headphone saya sebelumnya yang rban ditamba,"The sound output is really good, the body of the headphones is also solid and doesn't feel empty, yes, it's true that it's a comparison with my previous headphones which had an added band."
mantappp produknya,the product is great
rekomendasi saya adalah membeli barang anda dari perusahaan lain toko ini hanya tertarik pada penjualan bukan pelayanan saya membeli monitor juta ini dan rusak pada,my recommendation is to buy your item from another company this shop is only interested in sales not service i bought this million monitor and it broke on
sangat bagus dan lengkap semoga awet,"very good and complete, hopefully it will last"
mantab buat upgrade msi katana speed gen terkenceng di kelasnya,"It's great to upgrade msi katana speed gen, the tightest in its class"
pc nya bagus dapat upgrade juga makin mantap pelayanan juga fast response info yang disampaikan juga tepat jangan ragu untuk berbelanja disini top markotop,"the pc is good, it can be upgraded and the service is even better, the service is also fast response, the information provided is also correct, don't hesitate to shop here top markotop"
sesuai pesanan admin gercep cuma gk dapat stiker msi,"According to admin's order, Gercep just didn't get the MSI sticker"
hm,hm
keyboardnya mantap dan enak digunakan enak banget buat ngegame build qualitynya terbaik,"The keyboard is solid and easy to use, really good for gaming, the build quality is the best"
barang ori packing aman dan rapi pengiriman sesuai jadwal,"Original goods, safe and neat packaging, delivery according to schedule"
semoga monitor nya awet dan kalau ada cacat semoga claim garansinya dipermudah,"Hopefully the monitor will last and if there is a defect, hopefully the warranty claim will be easier"
siiiiiiip besok order lagi,siiiiiii order again tomorrow
barang sampai dengan selamat sat set sat set,"the goods arrived safely, one set, one set"
belum dicoba semoga gak masalah pengiriman cepat edit setelah hampir sebulan pemakaian bagian kapasitor keluar api pas dinyalakan di pagi hari catatan menggunakan,"Haven't tried it yet, hope there's no problem, fast delivery. Edit after almost a month of use, the capacitor part fires when it's turned on in the morning. Notes on use"
rekommended seller respon cepat packing rapih dan barang sesuai deskripsi,"Recommended seller, fast response, neat packaging and item as described"
mantapbubbelrap tebal,great thick bubble wrap
barang original dan packing aman sekali terimakasih,"Original item and very safe packaging, thank you"
mantap dan berkualitas,steady and quality
monitornya mantap,the monitor is solid
pengiriman cepat barang mulus siap pake ngecompe,fast delivery seamless goods ready to use ngecompe
barang sesuai spek proses cepat dan seller ramah kekurangan model ini ga bisa untuk triple display karena prosesor seri f,"goods according to specifications, fast processing and friendly seller. The downside of this model is that it cannot be used for triple displays because of the f series processor"
mantap sampai dengan selamat,arrived safely
bagus sesuai ekspektasi hz mantap sayang tipe curved nya blm ada utk ukuran segini,"Good, according to HZ's expectations, great, unfortunately the curved type isn't available yet for this size"
berfungsi dgn baik,works well
recommended seller,recommended seller
barang berfungsi dgn baik bisa di atur di msi center keren puol original punya,The item functions well. Can be set up at the MSI center. Original Puol is cool
barang sdh diyerima dengan baikorimakasih,goods have been received thank you
packing nya mantaabbbs orderan sampai dengan happy banget,"The packaging is great, the order arrived very happy"
sudah mengikuti msi selama tahun selalu dibuat puas dan melebihi ekspetasi pelayanannya baik packing sangat aman harga sesuai kualitas terima kasih mantap,"I have been following MSI for years, always satisfied and exceeding expectations, good service, very safe packaging, price according to quality, thank you, great"
mantab proteksi tebal barang sesuai deskripsi,"great thick protection, goods match the description"
dapat berfungai dengan baik,can function well
luar biasa mantap,incredibly solid
jos jis bngtadminya juga jos,Jos jis bngtadminya also jos
jos jis bngt namun sayang di expedisi pengiriman nya lumayan lama yg lain ok semua,"Very good, but unfortunately the delivery expedition took quite a long time, everything else was ok"
ok jos jis,ok if yes
jos jis banget,her he banget
barang bagus spek sesuai packing aman rapi hanya pengiriman yg lama,"Good item, according to specs, neat and safe packaging, just slow delivery"
proses pengiriman lama dan penjual tidak jujur dan kooperatif kronologi hari jumat sicepat tidak melakukan pickup paket hari sabtu pembeli meminta pembatalan utk meng,"the delivery process took a long time and the seller was not honest and cooperative. Friday's chronology, Sicepat didn't pick up the package on Saturday. The buyer asked for cancellation to order"
langsung buat kerja,directly to work
desainnya keren gampang dibawabawa packaging aman packaging rapi,"The design is cool, easy to carry, packaging and neat packaging"
belum dicoba semoga gaada kendala,"Haven't tried it yet, hopefully there are no problems"
ok barang sampai dengan selamat packing safe thank,"OK, item arrived safely, packaging safe, thank you"
seller responnya cepat langsung dikirim setelah order packing rapi dan aman mantab pokoknya,"The seller responded quickly and sent immediately after ordering, the packaging was neat and safe, basically"
produk sesuai dengan gambar,the product matches the picture
barang bagus ori mantap seller responsif thx u,"Good item, great, responsive seller, thx u"
performa baik dalam pemakaian bulan,good performance in months of use
muantab gan,muantab gan
nice bgt monitornya cuma lama nyampe nya aja,"The monitor is very nice, it just takes a long time to reach it"
ada dead pixel disuruh ke store cuma buat ketemu teknisi kalau dijanjikan ganti unit sih gak masalah langsung berangkat biar bintang aja lah yang berbicara,"there is a dead pixel, I was told to go to the store just to meet the technician, if they promise to change the unit, it's no problem, just leave and let the star do the talking"
barang sesuai deskripsi berfungsi dengan baik thanks,"Item as described, works well, thanks"
bagus,Good
barang sudah diterima sudah dites dan sejauh ini barang aman tidak ada cacat packaging sangat rapih dan tebal jadi aman saat pengiriman sempat ada masalah keterlambata,"The goods have been received, they have been tested and so far the goods are safe, there are no defects, the packaging is very neat and thick, so it is safe. During delivery, there was a problem with delays"
produk mantap kualitas bagus pengiriman cepat packing aman makasih gan,"Great product, good quality, fast delivery, safe packaging, thank you bro"
mantap semoga berfungsi dengan baik,good hope it works well
msi keren,msi cool
tidak ada speaker builtin harus nambah speaker external hanya mentok di hz tidak sesuai deskripsi entah harus dioverclock terlebih dahulu atau bagaimana,"there is no built-in speaker, you have to add an external speaker, it's just stuck at Hz, it doesn't match the description, whether it has to be overclocked first or what?"
barangnya asli bagus dan penjaga tokonya tahu banget soal computer parts brands untuk msi,the goods are genuine and good and the shopkeeper really knows about computer parts brands for MSI
barangnya berasa mewah bangett,the item feels really luxurious
star gak lagibg tapi spiking buat main dota udah menyerah mencari usb wifi receiver selain ini tapi buat game lain mulus,Star no longer works but spiking to play Dota I've given up looking for a USB WiFi receiver other than this but it works fine for other games
barang sesuai deskripsi packingnya tebel banget jadi aman sudah dites fungsi oke mantaf,"The item corresponds to the description, the packaging is very thick so it is safe, it has been tested and functions well"
mantap pengiriman cepat,great fast delivery
mantappp,greatpp
bagus bangetbuat harga segitu lumayandan overall semua ok kendalasukses selalu buat msi good job,"Very good, the price is not bad and overall everything is ok, success is always good for MSI, good job"
mantaap keren parah,really cool
recommended seller barang dikirim dengan aman,"Recommended seller, goods sent safely"
sesuai dengan pesanan,according to order
jozz mudahan awet,"Jozz, I hope it lasts"
ternyata tidak di paking sama pihak sicepatnya bukan dari selernya,"Turns out it wasn't packaged by the party immediately, not by the seller"
untuk monitor tidak ada masalah dan sudah saya cek untuk pengiriman sangat cepat sekali hari sampai padahal pakai kargo untuk packing sangat aman sekali dengan bubb,"There are no problems with the monitor and I have checked that the delivery was very fast, it arrived one day even though I used cargo for packing, it was very safe, Bubb"
aman dan sudah berjalan normal dapat gift steam dan banyak promo lagi pakai msi,"It's safe and running normally, you can get Steam gifts and lots of other promotions using MSI"
barang sampai dengan selamat packing nya tebel banget keren pokoknya mantap,"the goods arrived safely, the packaging was really thick, really cool, really great"
alhamdulilah,Alhamdulillah
tidak pakai packing kayu gak masalah sih jtr masih aman,"If you don't use wooden packaging, it's not a problem, but it's still safe"
gak ada komplain atau kendala packing mantap sudah dipakai monitornya refresh rate hz bisa dipakai sementara tidak mengalami kendala,There are no complaints or packaging problems. The monitor has been used. The Hz refresh rate can be used without any problems
baru bisa ulas sekarang monitor original kualitas oke layar jernih barang sampai dengan aman,"Only now can I review the original monitor, good quality, clear screen, item arrived safely"
mantap sesuai pesanan bubble nya tebel banget semoga awet,"solid as ordered, the bubble is very thick, hopefully it will last"
waooooow komen pertama ketika barang datang baru kali ini merakit pc dengan mobo diatas jt io lengkap terutama audio saya sekali sudah ada port optical mantap,"Wow, first comment when the item arrived, this is the first time I've assembled a PC with a mobo above JT IO, complete, especially my audio, once it has an optical port, it's great."
keyboardnya mantap dan enak digunakan,The keyboard is solid and easy to use
bagus juga harga jutaan,"it's also good, the price is millions"
ya kayu,yes wood
mantab min hitamnya doff elegan nyala rgbnya juga pas gak terlalu ngejreng packing bubble wrap tebelll sampai pontianak aman kardus gak ada yang penyok,"It's great, min, the black is matt, elegant, the RGB lights are just right, it's not too loud, the packaging is bubble wrap, the tebelll arrived in Pontianak, it's safe, the cardboard has no dents"
susah diterima barang bagus mantap thx u kaka,"Difficult to receive, really good item, thx bro"
respon toko sangat baik ekspedisi nya aja bermasalah,"The shop's response was very good, but the expedition had problems"
barang sudah diterima dgn baik dan cepat tqq,"the goods were received well and quickly, tqq"
barang sudah diterima dengan baik dan cepat tqq,"the goods were received well and quickly, tqq"
sangat amann,very safe
berharap dapat mousepad,I wish I could get a mousepad
original masih segel mantullll thanks untuk pengiriman super aman,"Original still sealed, thank you for super safe delivery"
oke,limit
infonya bonus speaker tapi gak ada speakernya walaupun beneran barang baru,The info says bonus speakers but there are no speakers even though it's really new
unit datang dengan baik hanya saja belum sempat dipakai,"The unit arrived in good condition, just haven't used it yet"
sudah dicoba semoga awetbarang sesuai mantap,I've tried it and hope it lasts well
kualitas bagus cuman masalah treatment layarnya,"Good quality, just a problem with the screen treatment"
respon penjual cukup saya mengharapkan sameday di hari yang sama tapi kena longkap sehari tp ok lah saya memaklumi mungkin karena transaksi yang pada di hari itu,"The seller's response was sufficient. I expected the same day on the same day but I was delayed for a day, but that's OK, I understand, maybe because the transaction was on that day."
istimewa,special
mantap paket mendarat dengan sempurna jooos,great package landed perfectly jooos
mantap packing bubble tebal membuat kita merasa aman dan tenang saat dibuka barang diterima dengan sangat baik tanpa cacat mantap terima kasih atas layanannya dari pem,"Great, thick bubble packaging makes us feel safe and calm when opened. Items were received very well without any defects. Thank you for the service from Pem"
top seller delivery cepat dan sampai dengan aman,top seller fast delivery and arrived safely
barang bagus kondisi saat di operasikan tidak ada kendala,The item is in good condition when operated without any problems
barang ok dan jalan normal,item is ok and running normally
puas bangettt awalnya ragu karena blm ada yang pernah beli setelah coba beli dan sendiri review pakai worth,"Very satisfied, at first I was hesitant because no one had ever bought it after trying to buy it and reviewing it myself using Worth"
akhirnya sampai,finally arrived
amazing murah semoga awet,"amazing, cheap, hope it lasts"
barang sesuai ekspektasi semoga gaada masalah setelah dipake,"Item meets expectations, hopefully there will be no problems after use"
keyboardnya bagus enak dipakai main game fast respons terutama main cs go responya cepat,"The keyboard is good and easy to use when playing fast response games, especially when playing CS GO, the response is fast"
mobilnya bagus cuma kurang heatsink ssd gak ada,The car is good but there is no SSD heatsink
keren lah build quality nya,the build quality is awesome
